#CHROM	BEGIN	END	MARKER_ID	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
16	56996010	57015557	16:56996010-57015557_High_HDL	NA	NA	15	0	0	NA	NA	NA	NA	High_HDL	hdl_mgdl	40	EUR_only	"covart2d_with_pre,covarlipidmeds"	pathogenic
18	58038746	58039478	18:58038746-58039478_Obesity	36168	0.00077417	9	9	5	0.03915	0.81818	0.40374	4.2544	Obesity	Obese	40	All	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	14118	0.0018416	18	11	6	0.2806	0.1153	0.10685	1.079	Neonatal_Diabetes	tg_mgdl_adj_ln	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	11075	0.0014447	27	14	13	0.20922	4.1831	3.3311	1.2558	MonogenicDM_all	hdl_mgdl	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	9858	0.0011158	9	4	2	0.58961	-5.7505	10.661	-0.53942	Low_LDL	ldl_mgdl	40	control_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	7610	0.0030223	53	8	2	NA	NA	NA	NA	High_LDL	high_ldl	40	case_only	"covart2d_with_pre,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	14551	0.00082469	9	5	4	0.33622	1.0125	0.9887	0.9248	Low_LDL	low_ldl_adj	40	All	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	3015	0.0046434	57	9	6	0.087796	20.274	11.872	1.7077	MonogenicDM_all	ldl_mgdl_adj	40	EUR_only	t2d_caseonly	all_vus
18	58038687	58039422	18:58038687-58039422_Obesity	17633	0.0083366	5	3	0	NA	NA	NA	NA	Obesity	Obese	40	case_only	covart2d_with_pre	all_vus
16	56996010	57015557	16:56996010-57015557_High_HDL	NA	NA	15	0	0	NA	NA	NA	NA	High_HDL	high_hdl	40	EUR_only	"covart2d,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	9320	0.010837	46	27	14	0.00046782	12.612	3.6035	3.4998	High_LDL	ldl_mgdl	40	case_only	covart2d_with_pre	all_vus
multichrs	0	0	multichrs:0-0_MODY	14118	0.0094914	65	41	24	0.52964	0.029792	0.047396	0.62858	MODY	tg_mgdl_adj_ln	40	case_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	3015	0.00066335	8	2	2	0.93802	-2.4377	31.344	-0.07777	Lipodystrophy	ldl_mgdl_adj	40	EUR_only	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	9771	0.00020469	7	2	2	0.97852	-0.68189	25.329	-0.026922	Lipodystrophy	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	13558	0.010621	80	50	30	0.23564	1.3071	1.1021	1.186	MonogenicDM_all	hdl_mgdl	40	case_only	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	NA	NA	19	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_adj_ln	40	control_only	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MODY	11075	0.0010835	17	10	9	0.10797	6.1787	3.8437	1.6075	MODY	hdl_mgdl	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	9771	0.00010234	8	1	1	0.6521	-16.143	35.804	-0.45086	Lipodystrophy	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	9858	0.0097383	46	26	12	3.71E-07	18.3	3.5975	5.0869	High_LDL	ldl_mgdl	40	control_only	covart2d	all_vus
multichrs	0	0	multichrs:0-0_MODY	4696	0.0014906	17	7	7	0.38458	-0.053055	0.061013	-0.86958	MODY	bmi_ln	40	EUR_only	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	6941	0.0018729	29	7	5	2.00E-07	-55.931	10.747	-5.2044	Low_LDL	ldl_mgdl_adj	40	control_only	"covart2d,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	21838	0.00050371	7	6	4	0.61167	0.35503	0.71212	0.25775	Lipodystrophy	high_tg_adj	40	All	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	14118	0.0060207	52	35	20	0.17161	0.080997	0.059247	1.3671	MODY	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	13558	0.0013276	19	16	15	0.048582	6.1026	3.0939	1.9724	MODY_Extended	hdl_mgdl	40	case_only	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	7610	0.00013141	2	1	1	0.55814	-25.154	42.952	-0.58563	Lipodystrophy	ldl_mgdl_adj	40	case_only	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2858	0.0048985	57	9	6	0.059057	17.689	9.3665	1.8885	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	7610	0.0017083	11	5	3	0.86378	-1.6691	9.7284	-0.17157	Neonatal_Diabetes	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
8	19811679	19811733	8:19811679-19811733_High_triglycerides	9107	0.00054903	2	1	0	NA	NA	NA	NA	High_triglycerides	high_tg	40	EUR_only	covart2d_with_pre	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	11233	0.0019585	18	10	5	0.51331	0.074847	0.11449	0.65372	Neonatal_Diabetes	tg_mgdl_ln	40	case_only	"t2d_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	3074	0.004229	55	8	5	0.83835	0.029997	0.14703	0.20402	MODY_Extended	tg_mgdl_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	11233	0.0056085	55	28	13	0.77048	0.019782	0.067803	0.29176	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	38595	0.011323	80	76	36	0.7855	0.026395	0.097133	0.074069	MonogenicDM_all	t2d	40	All		non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	18415	0.0013576	27	21	18	8.54E-05	-0.13299	0.033842	-3.9297	MonogenicDM_all	bmi_ln	40	case_only	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	3646	0.00054855	8	2	2	0.36047	-9.1383	9.9918	-0.91458	Lipodystrophy	hdl_mgdl	40	EUR_only	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	7610	0.0014455	27	11	11	0.77097	3.0795	10.578	0.29111	MonogenicDM_all	ldl_mgdl	40	case_only	"t2d_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	13558	0.0066381	57	39	22	0.52597	0.88047	1.3883	0.63419	MonogenicDM_all	hdl_mgdl	40	case_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2969	0.0020209	27	6	6	0.066026	10.687	5.8113	1.8389	MonogenicDM_all	hdl_mgdl	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MODY	13558	0.0061218	52	35	20	0.36896	1.2985	1.4453	0.89845	MODY	hdl_mgdl	40	case_only	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	7610	0.0017083	11	5	3	0.93165	-1.0237	11.935	-0.085776	Neonatal_Diabetes	ldl_mgdl_adj	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	19178	0.0028157	53	24	15	9.23E-11	2.3841	0.31693	41.978	High_LDL	high_ldl	40	All	covart2d	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	7610	0.010381	80	29	19	0.37043	4.3719	4.8808	0.89572	MonogenicDM_all	ldl_mgdl_adj	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	3987	0.012541	65	12	6	0.55131	3.6576	6.1384	0.59585	MODY	ldl_mgdl_adj	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	5961	0.0046972	57	17	11	0.51414	-0.020442	0.031332	-0.65244	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	10604	0.00018861	8	2	2	0.4554	0.26145	0.35025	0.74647	Lipodystrophy	tg_mgdl_adj_ln	40	control_only	"covart2d,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	14263	0.010376	80	45	24	0.053035	2.1558	1.1142	1.9348	MonogenicDM_all	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
18	58038687	58039422	18:58038687-58039422_Obesity	11188	0.0031284	5	4	2	0.73703	-0.010182	0.030322	-0.33579	Obesity	bmi_ln	40	EUR_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	11233	0.0098816	73	36	18	0.71258	-0.018915	0.051342	-0.3684	MODY_Extended	tg_mgdl_ln	40	case_only	"t2d_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	11233	0.0057865	57	29	13	0.91278	0.0073127	0.066763	0.10953	MonogenicDM_all	tg_mgdl_ln	40	case_only	"t2d_caseonly,covarlipidmeds"	all_vus
8	19811679	19811733	8:19811679-19811733_High_triglycerides	11233	0.00035609	2	2	1	NA	NA	NA	NA	High_triglycerides	high_tg_adj	40	case_only	"covart2d_with_pre,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Low_LDL	7610	0.0021025	29	7	3	1.17E-05	-47.283	10.781	-4.3857	Low_LDL	ldl_mgdl_adj	40	case_only	"covart2d,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	3781	0.011637	80	17	9	0.2597	2.218	1.9676	1.1273	MonogenicDM_all	hdl_mgdl	40	control_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	9320	0.010622	80	35	21	0.35541	4.121	4.459	0.9242	MonogenicDM_all	ldl_mgdl_adj	40	case_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	3987	0.012792	80	13	7	0.64654	2.789	6.0813	0.45862	MonogenicDM_all	ldl_mgdl_adj	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	18415	0.0070052	52	44	24	0.90739	0.0017391	0.014949	0.11634	MODY	bmi_ln	40	case_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	4185	0.00023895	3	1	1	0.20678	18.468	14.626	1.2627	Neonatal_Diabetes	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	38595	0.0072289	57	54	24	0.94464	0.0083549	0.1206	0.004821	MonogenicDM_all	t2d	40	All		all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	5961	0.00016776	7	1	1	0.25	0.19008	0.16522	1.1505	Lipodystrophy	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	3987	0.00025082	3	1	1	0.29507	37.456	35.768	1.0472	Neonatal_Diabetes	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	9858	0.0011158	9	4	2	0.59854	-5.6118	10.658	-0.52652	Low_LDL	ldl_mgdl	40	control_only	covart2d_with_pre	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	18015	0.0012212	27	20	19	0.41607	-0.092655	0.11393	-0.81327	MonogenicDM_all	tg_mgdl_ln	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	29642	0.00010121	2	2	1	0.76805	0.34925	1.296	0.086979	Lipodystrophy	high_tg	40	All	covart2d	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	14118	0.00021249	2	2	1	NA	NA	NA	NA	Lipodystrophy	high_tg_adj	40	case_only	covart2d	all_vus
18	58038746	58039478	18:58038746-58039478_Obesity	18535	0.00059347	9	6	4	0.0047742	1.9107	0.75385	7.963	Obesity	Obese	40	control_only	covart2d_with_pre	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	NA	NA	27	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_ln	40	control_only	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MODY	22514	0.00084392	17	15	12	0.034888	-0.082234	0.038977	-2.1098	MODY	bmi_ln	40	All	t2d_with_pre_caseonly	pathogenic
8	19811679	19811733	8:19811679-19811733_High_triglycerides	10605	0.00056577	2	2	0	NA	NA	NA	NA	High_triglycerides	high_tg	40	control_only	"covart2d,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY	3015	0.0043118	52	8	5	0.028031	22.077	10.045	2.1979	MODY	ldl_mgdl	40	EUR_only	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	14118	0.006304	55	37	21	0.14721	0.082837	0.057147	1.4495	MODY_Extended	tg_mgdl_ln	40	case_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_Low_LDL	14551	0.001993	29	11	6	1.25E-07	2.9772	0.48041	27.936	Low_LDL	low_ldl	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2858	0.0048985	57	9	6	0.034053	24.113	11.371	2.1205	MonogenicDM_all	ldl_mgdl_adj	40	EUR_only	"t2d_caseonly,covarlipidmeds"	all_vus
16	56996009	57016150	16:56996009-57016150_High_HDL	11075	0.00081264	4	3	0	NA	NA	NA	NA	High_HDL	high_hdl	40	case_only	"covart2d,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	14118	0.00042499	7	5	4	0.99442	0.0015532	0.22216	0.0069913	Lipodystrophy	tg_mgdl_adj_ln	40	case_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	4997	0.00020012	7	1	1	0.39959	-0.4448	0.528	-0.84242	Lipodystrophy	tg_mgdl_ln	40	EUR_only	t2d_with_pre_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	9320	0.0061159	55	25	14	0.022139	13.382	5.8478	2.2884	MODY_Extended	ldl_mgdl_adj	40	case_only	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	3781	0.0076699	57	13	7	0.22938	2.8987	2.4113	1.2021	MonogenicDM_all	hdl_mgdl	40	control_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	2161	0.01018	73	10	7	0.67146	3.8066	8.9733	0.42421	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	4099	0.0085387	52	13	6	0.53027	0.016876	0.026887	0.62765	MODY	bmi_ln	40	control_only	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_High_LDL	9320	0.10976	63	41	16	NA	NA	NA	NA	High_LDL	high_ldl	40	case_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	9771	0.0021492	18	9	6	0.37925	6.8832	7.8278	0.87933	Neonatal_Diabetes	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY_Extended	7610	0.0055191	55	20	12	0.0087176	17.443	6.6485	2.6236	MODY_Extended	ldl_mgdl_adj	40	case_only	"t2d_caseonly,covarlipidmeds"	all_vus
8	19797040	19819724	8:19797040-19819724_High_triglycerides	9107	0.22027	5	3	0	NA	NA	NA	NA	High_triglycerides	high_tg_adj	40	EUR_only	covart2d	non_pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	4696	0.00021295	3	1	1	0.015726	-0.38913	0.16106	-2.4161	Neonatal_Diabetes	bmi_ln	40	EUR_only	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	21838	9.16E-05	2	1	0	0.92568	0.14849	1.924	0.0087024	Lipodystrophy	high_tg_adj	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	9771	0.0010234	19	10	10	0.93816	1.06	13.663	0.07758	MODY_Extended	ldl_mgdl_adj	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
18	58038746	58039478	18:58038746-58039478_Obesity	17633	0.0009641	9	6	2	0.26516	0.045867	0.041162	1.1143	Obesity	bmi_ln	40	case_only	covart2d	pathogenic
