#CHROM	BEGIN	END	MARKER_ID	MARKER	Gene	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
9	135947060	135947060	9:135947060-135947060_CEL	9:135947060-135947060	CEL	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
7	44185189	44193001	7:44185189-44193001_GCK	7:44185189-44193001	GCK	4154	0.0007222	14	3	3	0.53694	-15.805	25.594	-0.6175	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
12	121416600	121438954	12:121416600-121438954_HNF1A	12:121416600-121438954	HNF1A	4154	0.0012037	23	4	3	0.85521	3.6181	19.827	0.18249	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	NA	NA	9	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
20	43042354	43052694	20:43042354-43052694_HNF4A	20:43042354-43052694	HNF4A	4154	0.00096293	4	1	0	0.008739	58.108	22.15	2.6233	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
13	28494327	28494372	13:28494327-28494372_PDX1	13:28494327-28494372	PDX1	4154	0.0014444	2	2	0	0.77446	-5.1982	18.14	-0.28656	MODY_Extended	ldl_mgdl_adj	40	EUR_only	t2d_with_pre_caseonly	all_vus
11	17417461	17417461	11:17417461-17417461_ABCC8	11:17417461-17417461	ABCC8	5961	0.00016776	1	1	1	0.031141	-0.35609	0.16518	-2.1558	Neonatal_Diabetes	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	pathogenic
17	36093806	36093806	17:36093806-36093806_HNF1B	17:36093806-36093806	HNF1B	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	pathogenic
11	2182066	2182066	11:2182066-2182066_INS	11:2182066-2182066	INS	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	pathogenic
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	NA	NA	2	0	0	NA	NA	NA	NA	Lipodystrophy	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	5961	0.00033551	6	2	2	0.021464	-0.26864	0.11678	-2.3003	Lipodystrophy	bmi_ln	40	EUR_only	t2d_with_pre_caseonly	pathogenic
11	17417461	17417461	11:17417461-17417461_ABCC8	11:17417461-17417461	ABCC8	3987	0.00025082	1	1	1	0.29507	37.456	35.768	1.0472	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
7	44187429	44192980	7:44187429-44192980_GCK	7:44187429-44192980	GCK	NA	NA	6	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
12	121426701	121435443	12:121426701-121435443_HNF1A	12:121426701-121435443	HNF1A	3987	0.00050163	7	2	2	0.95892	1.3032	25.301	0.051508	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
17	36093806	36093806	17:36093806-36093806_HNF1B	17:36093806-36093806	HNF1B	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
20	43052700	43052700	20:43052700-43052700_HNF4A	20:43052700-43052700	HNF4A	3987	0.00025082	1	1	1	0.60228	-18.643	35.77	-0.52117	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
11	2182066	2182066	11:2182066-2182066_INS	11:2182066-2182066	INS	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	NA	NA	2	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
13	28494574	28494677	13:28494574-28494677_PDX1	13:28494574-28494677	PDX1	3987	0.00025082	2	1	1	0.71174	13.225	35.787	0.36955	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	3987	0.00025082	6	1	1	0.62045	-17.711	35.762	-0.49525	MonogenicDM_all	ldl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
1	156096000	156108466	1:156096000-156108466_LMNA	1:156096000-156108466	LMNA	7610	0.00026281	6	2	2	0.81768	5.7092	24.765	0.23054	Lipodystrophy	ldl_mgdl	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
3	12475484	12475484	3:12475484-12475484_PPARG	3:12475484-12475484	PPARG	NA	NA	1	0	0	NA	NA	NA	NA	Lipodystrophy	ldl_mgdl	40	case_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	NA	NA	2	0	0	NA	NA	NA	NA	Lipodystrophy	tg_mgdl_adj_ln	40	EUR_only	t2d_caseonly	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	3757	0.00053234	6	2	2	0.20265	0.48973	0.38432	1.2743	Lipodystrophy	tg_mgdl_adj_ln	40	EUR_only	t2d_caseonly	pathogenic
8	19811679	19811733	8:19811679-19811733_LPL	8:19811679-19811733	LPL	14118	0.00042499	2	2	0	NA	NA	NA	NA	High_triglycerides	high_tg_adj	40	case_only	covart2d_with_pre	all_vus
2	21230565	21230565	2:21230565-21230565_APOB	2:21230565-21230565	APOB	NA	NA	1	0	0	NA	NA	NA	NA	High_LDL	high_ldl	40	case_only	covart2d_with_pre	non_pathogenic
19	11210913	11241961	19:11210913-11241961_LDLR	19:11210913-11241961	LDLR	9320	0.10762	55	38	16	NA	NA	NA	NA	High_LDL	high_ldl	40	case_only	covart2d_with_pre	non_pathogenic
1	55505604	55524222	1:55505604-55524222_PCSK9	1:55505604-55524222	PCSK9	9320	0.0027897	7	3	0	NA	NA	NA	NA	High_LDL	high_ldl	40	case_only	covart2d_with_pre	non_pathogenic
11	17417462	17482160	11:17417462-17482160_ABCC8	11:17417462-17482160	ABCC8	18015	5.55E-05	2	1	1	0.23594	0.64395	0.54331	1.1852	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
9	135947060	135947060	9:135947060-135947060_CEL	9:135947060-135947060	CEL	18015	0.00016653	1	1	0	0.96266	0.014684	0.31363	0.046818	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
7	44185189	44193001	7:44185189-44193001_GCK	7:44185189-44193001	GCK	18015	0.0011102	14	11	7	0.98674	-0.0020205	0.12159	-0.016618	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
12	121416600	121438954	12:121416600-121438954_HNF1A	12:121416600-121438954	HNF1A	18015	0.0019983	23	15	9	0.46935	-0.065607	0.090674	-0.72355	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	18015	0.0014432	9	6	1	0.39832	0.090104	0.10668	0.84464	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
20	43042354	43052694	20:43042354-43052694_HNF4A	20:43042354-43052694	HNF4A	18015	0.00033306	4	3	2	0.76348	0.066779	0.22192	0.30092	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
1	156107470	156107470	1:156107470-156107470_LMNA	1:156107470-156107470	LMNA	18015	0.00011102	1	1	0	0.1999	-0.4924	0.38412	-1.2819	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
13	28494327	28494372	13:28494327-28494372_PDX1	13:28494327-28494372	PDX1	18015	0.0013877	2	2	0	0.80911	-0.026352	0.10908	-0.24158	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
3	12475484	12475484	3:12475484-12475484_PPARG	3:12475484-12475484	PPARG	18015	5.55E-05	1	1	1	0.33936	0.51895	0.54314	0.95546	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
11	17417461	17417461	11:17417461-17417461_ABCC8	11:17417461-17417461	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
7	44187429	44192980	7:44187429-44192980_GCK	7:44187429-44192980	GCK	NA	NA	6	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
12	121426701	121435443	12:121426701-121435443_HNF1A	12:121426701-121435443	HNF1A	NA	NA	7	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
17	36093806	36093806	17:36093806-36093806_HNF1B	17:36093806-36093806	HNF1B	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
20	43052700	43052700	20:43052700-43052700_HNF4A	20:43052700-43052700	HNF4A	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
11	2182066	2182066	11:2182066-2182066_INS	11:2182066-2182066	INS	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
13	28494574	28494677	13:28494574-28494677_PDX1	13:28494574-28494677	PDX1	NA	NA	2	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	control_only	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
11	17417462	17482160	11:17417462-17482160_ABCC8	11:17417462-17482160	ABCC8	NA	NA	2	0	0	NA	NA	NA	NA	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
9	135947060	135947060	9:135947060-135947060_CEL	9:135947060-135947060	CEL	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
7	44185189	44193001	7:44185189-44193001_GCK	7:44185189-44193001	GCK	4696	0.00042589	14	2	2	0.15025	-0.16399	0.11397	-1.4389	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
12	121416600	121438954	12:121416600-121438954_HNF1A	12:121416600-121438954	HNF1A	4696	0.0014906	23	6	5	0.42993	0.048111	0.060947	0.78938	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	4696	0.00021295	9	1	1	0.55894	0.094204	0.16118	0.58446	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
20	43042354	43052694	20:43042354-43052694_HNF4A	20:43042354-43052694	HNF4A	4696	0.0014906	4	3	1	0.66148	-0.026699	0.06097	-0.4379	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
1	156107470	156107470	1:156107470-156107470_LMNA	1:156107470-156107470	LMNA	4696	0.00021295	1	1	1	0.29035	0.17038	0.16112	1.0575	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
13	28494327	28494372	13:28494327-28494372_PDX1	13:28494327-28494372	PDX1	4696	0.00085179	2	2	0	0.78838	-0.021675	0.080749	-0.26843	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
3	12475484	12475484	3:12475484-12475484_PPARG	3:12475484-12475484	PPARG	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	bmi_ln	40	EUR_only	t2d_caseonly	all_vus
7	44185189	44197686	7:44185189-44197686_GCK	7:44185189-44197686	GCK	3015	0.00066335	16	2	2	0.80971	6.1585	25.572	0.24083	MODY	ldl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
12	121416474	121438954	12:121416474-121438954_HNF1A	12:121416474-121438954	HNF1A	3015	0.00099502	28	3	3	0.1286	31.699	20.854	1.5201	MODY	ldl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	NA	NA	11	0	0	NA	NA	NA	NA	MODY	ldl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
20	43042354	43057104	20:43042354-43057104_HNF4A	20:43042354-43057104	HNF4A	3015	0.0013267	5	1	0	0.02034	41.947	18.071	2.3212	MODY	ldl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
13	28494327	28498711	13:28494327-28498711_PDX1	13:28494327-28498711	PDX1	3015	0.0092869	5	4	0	0.37747	-6.1057	6.917	-0.8827	MODY	ldl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
11	17417461	17417461	11:17417461-17417461_ABCC8	11:17417461-17417461	ABCC8	3074	0.00032531	1	1	1	0.50268	-0.35442	0.5287	-0.67036	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
7	44187429	44192980	7:44187429-44192980_GCK	7:44187429-44192980	GCK	NA	NA	6	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
12	121426701	121435443	12:121426701-121435443_HNF1A	12:121426701-121435443	HNF1A	3074	0.00065062	7	2	2	0.061447	-0.69928	0.37376	-1.871	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
17	36093806	36093806	17:36093806-36093806_HNF1B	17:36093806-36093806	HNF1B	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
20	43052700	43052700	20:43052700-43052700_HNF4A	20:43052700-43052700	HNF4A	3074	0.00032531	1	1	1	0.80171	0.13278	0.52867	0.25116	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
11	2182066	2182066	11:2182066-2182066_INS	11:2182066-2182066	INS	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	NA	NA	2	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
13	28494574	28494677	13:28494574-28494677_PDX1	13:28494574-28494677	PDX1	3074	0.00032531	2	1	1	0.72123	-0.18879	0.52904	-0.35685	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	3074	0.00032531	6	1	1	0.41296	0.43275	0.52852	0.81881	MonogenicDM_all	tg_mgdl_adj_ln	40	EUR_only	"t2d_caseonly,covarlipidmeds"	pathogenic
2	21230565	21230565	2:21230565-21230565_APOB	2:21230565-21230565	APOB	NA	NA	1	0	0	NA	NA	NA	NA	High_LDL	ldl_mgdl_adj	40	EUR_only	"covart2d,covarlipidmeds"	all_vus
19	11210913	11240278	19:11210913-11240278_LDLR	19:11210913-11240278	LDLR	6592	0.0066748	39	12	7	0.0086531	16.414	6.25	2.6263	High_LDL	ldl_mgdl_adj	40	EUR_only	"covart2d,covarlipidmeds"	all_vus
1	55505604	55524222	1:55505604-55524222_PCSK9	1:55505604-55524222	PCSK9	6592	0.0021238	6	2	1	0.21739	-13.578	11.006	-1.2336	High_LDL	ldl_mgdl_adj	40	EUR_only	"covart2d,covarlipidmeds"	all_vus
1	156107470	156107470	1:156107470-156107470_LMNA	1:156107470-156107470	LMNA	9320	0.0001073	1	1	1	0.51684	-23.262	35.884	-0.64824	Lipodystrophy	ldl_mgdl	40	case_only	t2d_with_pre_caseonly	all_vus
3	12475484	12475484	3:12475484-12475484_PPARG	3:12475484-12475484	PPARG	9320	0.0001073	1	1	1	0.055792	-68.628	35.876	-1.9129	Lipodystrophy	ldl_mgdl	40	case_only	t2d_with_pre_caseonly	all_vus
11	17417462	17482160	11:17417462-17482160_ABCC8	11:17417462-17482160	ABCC8	NA	NA	3	0	0	NA	NA	NA	NA	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
9	135947060	135947060	9:135947060-135947060_CEL	9:135947060-135947060	CEL	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
7	44185189	44197686	7:44185189-44197686_GCK	7:44185189-44197686	GCK	3646	0.00054855	16	2	2	0.0029531	29.686	9.9799	2.9746	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
12	121416474	121438954	12:121416474-121438954_HNF1A	12:121416474-121438954	HNF1A	3646	0.0013714	28	5	5	0.97641	-0.18685	6.3189	-0.029571	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	NA	NA	11	0	0	NA	NA	NA	NA	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
20	43042354	43057104	20:43042354-43057104_HNF4A	20:43042354-43057104	HNF4A	3646	0.0013714	5	2	1	0.72742	2.2028	6.3191	0.34859	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
11	17408574	17408795	11:17408574-17408795_KCNJ11	11:17408574-17408795	KCNJ11	NA	NA	4	0	0	NA	NA	NA	NA	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
13	28494327	28498711	13:28494327-28498711_PDX1	13:28494327-28498711	PDX1	3646	0.0079539	5	4	0	0.97037	0.098693	2.6564	0.037152	MODY_Extended	hdl_mgdl	40	EUR_only	t2d_caseonly	non_pathogenic
7	44185189	44193001	7:44185189-44193001_GCK	7:44185189-44193001	GCK	4185	0.00071685	14	3	3	0.012198	21.172	8.4437	2.5075	MODY	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
12	121416600	121438954	12:121416600-121438954_HNF1A	12:121416600-121438954	HNF1A	4185	0.0011947	23	4	3	0.76484	1.9592	6.5493	0.29915	MODY	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
17	36070609	36104776	17:36070609-36104776_HNF1B	17:36070609-36104776	HNF1B	NA	NA	9	0	0	NA	NA	NA	NA	MODY	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
20	43042354	43052694	20:43042354-43052694_HNF4A	20:43042354-43052694	HNF4A	4185	0.00095579	4	1	0	0.74107	2.4187	7.3193	0.33046	MODY	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
13	28494327	28494372	13:28494327-28494372_PDX1	13:28494327-28494372	PDX1	4185	0.0014337	2	2	0	0.32902	5.8469	5.9894	0.97621	MODY	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	10604	9.43E-05	2	1	1	0.14423	0.71835	0.49191	1.4603	Lipodystrophy	tg_mgdl_ln	40	control_only	"covart2d_with_pre,covarlipidmeds"	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	10604	9.43E-05	6	1	1	0.83501	-0.1025	0.49208	-0.20829	Lipodystrophy	tg_mgdl_ln	40	control_only	"covart2d_with_pre,covarlipidmeds"	pathogenic
2	21230565	21230565	2:21230565-21230565_APOB	2:21230565-21230565	APOB	NA	NA	1	0	0	NA	NA	NA	NA	High_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
19	11210913	11240278	19:11210913-11240278_LDLR	19:11210913-11240278	LDLR	14551	0.0057041	39	26	11	4.06E-07	19.92	3.9303	5.0683	High_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
1	55505604	55524222	1:55505604-55524222_PCSK9	1:55505604-55524222	PCSK9	14551	0.0030926	6	4	1	0.7871	1.4429	5.3425	0.27008	High_LDL	ldl_mgdl	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
2	21230565	21230565	2:21230565-21230565_APOB	2:21230565-21230565	APOB	NA	NA	1	0	0	NA	NA	NA	NA	High_LDL	high_ldl	40	EUR_only	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
19	11210913	11241961	19:11210913-11241961_LDLR	19:11210913-11241961	LDLR	6592	0.14578	55	19	7	NA	NA	NA	NA	High_LDL	high_ldl	40	EUR_only	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
1	55505604	55524222	1:55505604-55524222_PCSK9	1:55505604-55524222	PCSK9	6592	0.0021238	7	2	1	NA	NA	NA	NA	High_LDL	high_ldl	40	EUR_only	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	9107	0.00010981	2	1	1	NA	NA	NA	NA	Lipodystrophy	high_tg	40	EUR_only	covart2d_with_pre	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	9107	0.00021961	6	2	2	NA	NA	NA	NA	Lipodystrophy	high_tg	40	EUR_only	covart2d_with_pre	pathogenic
1	156096000	156108466	1:156096000-156108466_LMNA	1:156096000-156108466	LMNA	4185	0.00023895	6	1	1	0.6237	-7.1806	14.635	-0.49066	Lipodystrophy	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
3	12475484	12475484	3:12475484-12475484_PPARG	3:12475484-12475484	PPARG	NA	NA	1	0	0	NA	NA	NA	NA	Lipodystrophy	hdl_mgdl	40	EUR_only	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
16	56996009	57016150	16:56996009-57016150_CETP	16:56996009-57016150	CETP	10653	0.00037548	4	3	2	NA	NA	NA	NA	High_HDL	high_hdl	40	control_only	"covart2d,covarlipidmeds"	non_pathogenic
1	156105812	156106776	1:156105812-156106776_LMNA	1:156105812-156106776	LMNA	NA	NA	2	0	0	NA	NA	NA	NA	Lipodystrophy	tg_mgdl_ln	40	case_only	covart2d	pathogenic
3	12421431	12475610	3:12421431-12475610_PPARG	3:12421431-12475610	PPARG	14118	0.00028333	6	4	4	0.026486	0.5961	0.26861	2.2192	Lipodystrophy	tg_mgdl_ln	40	case_only	covart2d	pathogenic
7	44187429	44192980	7:44187429-44192980_GCK	7:44187429-44192980	GCK	18415	0.00038012	6	6	5	0.27688	-0.069532	0.063945	-1.0874	MODY	bmi_ln	40	case_only	t2d_with_pre_caseonly	pathogenic
