#CHROM	BEGIN	END	MARKER_ID	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
multichrs	0	0	multichrs:0-0_MODY_Extended	6447	0.027765	65	28	15	0.84705	0.18293	0.94835	0.1929	MODY_Extended	hdl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2342	0.026046	60	15	9	0.56689	0.91753	1.6021	0.57272	MODY	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	6779	0.00044254	1	1	0	0.008116	0.77597	0.29304	2.648	Lipodystrophy	tg_mgdl_adj_ln	40	All	t2d_with_pre_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2469	0.027136	71	18	11	0.44719	0.04822	0.063429	0.76023	MonogenicDM_all	tg_mgdl_ln	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Lipodystrophy	NA	NA	3	0	0	NA	NA	NA	NA	Lipodystrophy	bmi_ln	40	All	t2d_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_MODY	7148	0.0092334	45	21	12	0.40151	-0.018371	0.021897	-0.83897	MODY	bmi_ln	40	All	t2d_with_pre_caseonly	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	2342	0.00085397	1	1	0	0.74057	-2.9506	8.9105	-0.33113	Lipodystrophy	hdl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	6777	0.027593	65	28	15	0.57557	-1.563	2.7915	-0.5599	MODY_Extended	ldl_mgdl_adj	40	All	t2d_with_pre_caseonly	non_pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	36430	0.00079605	1	1	0	0.34969	0.4043	0.42671	0.87458	Lipodystrophy	high_tg_adj	40	All	covart2d	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	2469	0.0036452	14	7	5	0.0043464	-0.49818	0.17452	-2.8545	MODY_Extended	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
chr2	21006629	21006629	chr2:21006629-21006629_Low_LDL	36419	5.49E-05	1	1	0	0.03699	-50.753	24.331	-2.086	Low_LDL	ldl_mgdl_adj	40	All	"covart2d,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_MODY_Extended	6779	0.0089984	46	20	11	0.26675	-0.069034	0.062156	-1.1107	MODY_Extended	tg_mgdl_adj_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	NA	NA	5	0	0	NA	NA	NA	NA	Neonatal_Diabetes	ldl_mgdl	40	All	t2d_caseonly	all_vus
multichrs	0	0	multichrs:0-0_MODY	2469	0.025516	60	15	9	0.73661	0.022272	0.06621	0.33639	MODY	tg_mgdl_adj_ln	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_High_LDL	36419	0.0023065	37	34	20	2.14E-08	20.048	3.579	5.6017	High_LDL	ldl_mgdl	40	All	covart2d_with_pre	pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_Lipodystrophy	2342	0.00085397	1	1	0	0.63136	-4.3008	8.9623	-0.47988	Lipodystrophy	hdl_mgdl	40	All	t2d_caseonly	all_vus
chr1	156126910	156139769	chr1:156126910-156139769_Lipodystrophy	38566	0.001115	6	6	1	0.35249	-0.4102	0.4684	0.86447	Lipodystrophy	t2d_with_pre	40	All		non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	2625	0.026667	60	15	9	0.56847	-0.012342	0.021638	-0.57038	MODY	bmi_ln	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_Low_LDL	36419	0.0010709	3	3	2	0.074997	4.2124	1.2943	3.1701	Low_LDL	low_ldl_adj	40	All	covart2d_with_pre	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	6779	0.027143	60	27	15	0.45691	0.026873	0.036121	0.74398	MODY	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	non_pathogenic
multichrs	0	0	multichrs:0-0_MonogenicDM_all	2468	0.027147	71	18	11	0.60257	-2.2018	4.2279	-0.52077	MonogenicDM_all	ldl_mgdl	40	All	t2d_caseonly	non_pathogenic
multichrs	0	0	multichrs:0-0_MODY	6777	0.0019183	14	11	9	0.0054993	-28.02	10.09	-2.7771	MODY	ldl_mgdl	40	All	t2d_with_pre_caseonly	pathogenic
multichrs	0	0	multichrs:0-0_Neonatal_Diabetes	NA	NA	5	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
multichrs	0	0	multichrs:0-0_Lipodystrophy	36430	0.0001647	3	2	0	0.28932	0.90668	0.87334	1.1228	Lipodystrophy	high_tg	40	All	"covart2d,covarlipidmeds"	pathogenic
