#CHROM	BEGIN	END	MARKER_ID	MARKER	Gene	NS	FRAC_WITH_RARE	NUM_ALL_VARS	NUM_PASS_VARS	NUM_SING_VARS	PVALUE	BETA	SEBETA	ZSTAT	Condition	Trait	age	subset	additional_covariates	type
chr19	11100272	11120442	chr19:11100272-11120442_LDLR	chr19:11100272-11120442	LDLR	36419	0.0015651	35	32	19	0.0001215	1.0983	0.27896	14.769	High_LDL	high_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	pathogenic
chr18	60371466	60372294	chr18:60371466-60372294_MC4R	chr18:60371466-60372294	MC4R	38450	0.00080624	13	13	5	0.0083723	0.075955	0.028805	2.6368	Obesity	bmi_ln	40	All	covart2d_with_pre	pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	6779	0.0016227	7	5	1	0.46664	-0.10869	0.1493	-0.72801	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	6779	0.0013276	23	8	7	0.60145	-0.086307	0.16523	-0.52234	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	6779	0.0023602	9	5	3	0.97636	-0.0036737	0.12395	-0.029638	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_LMNA	chr1:156137679-156137679	LMNA	6779	0.00044254	1	1	0	0.013882	0.70355	0.28589	2.4609	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	6779	0.0036879	2	2	0	0.36877	-0.084241	0.093722	-0.89885	MonogenicDM_all	tg_mgdl_ln	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	all_vus
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	38566	0.0012187	7	7	1	0.8889	0.07891	0.56481	0.019514	MODY	t2d	40	All		all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	38566	0.0014521	23	23	13	0.87245	-0.088068	0.56044	0.025776	MODY	t2d	40	All		all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	38566	0.00020744	4	4	3	0.89817	-0.18269	1.5663	0.016379	MODY	t2d	40	All		all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	38566	0.0016076	9	9	4	0.27651	0.48504	0.42292	1.1842	MODY	t2d	40	All		all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	38566	0.0042525	2	2	0	0.86647	-0.053424	0.32092	0.028272	MODY	t2d	40	All		all_vus
chr1	156138749	156138749	chr1:156138749-156138749_LMNA	chr1:156138749-156138749	LMNA	NA	NA	1	0	0	NA	NA	NA	NA	Lipodystrophy	tg_mgdl_ln	40	All	t2d_caseonly	pathogenic
chr3	12416865	12417037	chr3:12416865-12417037_PPARG	chr3:12416865-12417037	PPARG	NA	NA	2	0	0	NA	NA	NA	NA	Lipodystrophy	tg_mgdl_ln	40	All	t2d_caseonly	pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	38566	7.78E-05	1	1	0	0.81897	0.36307	1.7534	0.052381	Neonatal_Diabetes	t2d	40	All		all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	38566	0.00020744	4	4	3	0.89817	-0.18269	1.5663	0.016379	Neonatal_Diabetes	t2d	40	All		all_vus
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	all_vus
chr11	17404552	17412716	chr11:17404552-17412716_ABCC8	chr11:17404552-17412716	ABCC8	38566	0.00010372	2	2	1	0.88625	0.22055	1.68	0.020465	MonogenicDM_all	t2d	40	All		non_pathogenic
chr11	17387532	17387532	"chr11:17387532-17387532_ABCC8,KCNJ11"	chr11:17387532-17387532	"ABCC8,KCNJ11"	38566	2.59E-05	1	1	1	0.40604	1.5746	2.3102	0.69036	MonogenicDM_all	t2d	40	All		non_pathogenic
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	38566	0.0012705	9	9	3	0.26071	0.54956	0.46088	1.265	MonogenicDM_all	t2d	40	All		non_pathogenic
chr12	120978797	121001097	chr12:120978797-121001097_HNF1A	chr12:120978797-121001097	HNF1A	38566	0.0018151	29	29	18	0.77846	0.12812	0.45068	0.079144	MonogenicDM_all	t2d	40	All		non_pathogenic
chr17	37705017	37744785	chr17:37705017-37744785_HNF1B	chr17:37705017-37744785	HNF1B	38566	0.00038894	6	6	3	0.47808	-0.88572	1.4924	0.50325	MonogenicDM_all	t2d	40	All		non_pathogenic
chr20	44413714	44424370	chr20:44413714-44424370_HNF4A	chr20:44413714-44424370	HNF4A	38566	0.0016595	11	11	6	0.31107	0.44861	0.42175	1.0261	MonogenicDM_all	t2d	40	All		non_pathogenic
chr11	2159810	2159810	chr11:2159810-2159810_INS	chr11:2159810-2159810	INS	38566	0.00015558	1	1	0	0.17342	1.4787	1.0198	1.8531	MonogenicDM_all	t2d	40	All		non_pathogenic
chr11	17387211	17387211	chr11:17387211-17387211_KCNJ11	chr11:17387211-17387211	KCNJ11	38566	2.59E-05	1	1	1	0.51033	1.2028	2.3102	0.4334	MonogenicDM_all	t2d	40	All		non_pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_LMNA	chr1:156126910-156139769	LMNA	38566	0.001115	6	6	1	0.64329	0.26978	0.56839	0.21446	MonogenicDM_all	t2d	40	All		non_pathogenic
chr13	27920190	27924574	chr13:27920190-27924574_PDX1	chr13:27920190-27924574	PDX1	38566	0.020095	5	5	1	0.71024	0.052883	0.14133	0.13803	MonogenicDM_all	t2d	40	All		non_pathogenic
chr11	17404552	17412716	chr11:17404552-17412716_ABCC8	chr11:17404552-17412716	ABCC8	NA	NA	2	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr11	17387532	17387532	"chr11:17387532-17387532_ABCC8,KCNJ11"	chr11:17387532-17387532	"ABCC8,KCNJ11"	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	2469	0.0020251	9	4	3	0.88922	0.032627	0.23421	0.1393	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr12	120978797	121001097	chr12:120978797-121001097_HNF1A	chr12:120978797-121001097	HNF1A	2469	0.0020251	29	4	3	0.076026	-0.41504	0.23383	-1.775	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr17	37705017	37744785	chr17:37705017-37744785_HNF1B	chr17:37705017-37744785	HNF1B	NA	NA	6	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr20	44413714	44424370	chr20:44413714-44424370_HNF4A	chr20:44413714-44424370	HNF4A	2469	0.0024301	11	3	2	0.88376	-0.031316	0.21417	-0.14622	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr11	2159810	2159810	chr11:2159810-2159810_INS	chr11:2159810-2159810	INS	2469	0.00040502	1	1	1	0.31273	0.52849	0.5234	1.0097	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr11	17387211	17387211	chr11:17387211-17387211_KCNJ11	chr11:17387211-17387211	KCNJ11	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr13	27920190	27924574	chr13:27920190-27924574_PDX1	chr13:27920190-27924574	PDX1	2469	0.019441	5	4	1	0.42766	0.06054	0.076311	0.79333	MODY_Extended	tg_mgdl_ln	40	All	"t2d_caseonly,covarlipidmeds"	non_pathogenic
chr1	156126910	156139769	chr1:156126910-156139769_LMNA	chr1:156126910-156139769	LMNA	2342	0.001281	6	2	1	0.78647	1.9811	7.3122	0.27093	Lipodystrophy	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	2468	0.0012156	7	2	1	0.43261	18.84	24.004	0.78486	MODY_Extended	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	2468	0.0012156	23	3	3	0.6883	-9.6355	24.016	-0.4012	MODY_Extended	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	MODY_Extended	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	2468	0.0024311	9	3	2	0.84824	3.2578	17.023	0.19138	MODY_Extended	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	2468	0.0040519	2	2	1	0.61044	6.7522	13.252	0.50951	MODY_Extended	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr19	11100237	11131285	chr19:11100237-11131285_LDLR	chr19:11100237-11131285	LDLR	36419	0.14119	47	47	22	0.52622	0.029814	0.046896	0.40168	High_LDL	high_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
chr1	55052701	55058549	chr1:55052701-55058549_PCSK9	chr1:55052701-55058549	PCSK9	36419	0.0031852	3	2	0	0.11328	-0.59738	0.4124	2.5078	High_LDL	high_ldl_adj	40	All	"covart2d_with_pre,covarlipidmeds"	non_pathogenic
chr11	17404552	17412716	chr11:17404552-17412716_ABCC8	chr11:17404552-17412716	ABCC8	NA	NA	2	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr11	17387532	17387532	"chr11:17387532-17387532_ABCC8,KCNJ11"	chr11:17387532-17387532	"ABCC8,KCNJ11"	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr17	37705017	37744785	chr17:37705017-37744785_HNF1B	chr17:37705017-37744785	HNF1B	NA	NA	6	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr11	2159810	2159810	chr11:2159810-2159810_INS	chr11:2159810-2159810	INS	2342	0.00042699	1	1	1	0.15874	-17.846	12.659	-1.4098	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr11	17387211	17387211	chr11:17387211-17387211_KCNJ11	chr11:17387211-17387211	KCNJ11	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_caseonly	non_pathogenic
chr1	156137679	156137679	chr1:156137679-156137679_LMNA	chr1:156137679-156137679	LMNA	36430	0.00079605	1	1	0	0.17291	0.60071	0.4288	1.8575	Lipodystrophy	high_tg	40	All	"covart2d_with_pre,covarlipidmeds"	all_vus
chr7	44147830	44153381	chr7:44147830-44153381_GCK	chr7:44147830-44153381	GCK	6777	0.0014756	8	8	6	0.026996	-22.368	10.112	-2.2121	MonogenicDM_all	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
chr12	120989032	120999262	chr12:120989032-120999262_HNF1A	chr12:120989032-120999262	HNF1A	6777	0.00044267	5	3	3	0.033416	-39.226	18.438	-2.1275	MonogenicDM_all	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
chr1	156138749	156138749	chr1:156138749-156138749_LMNA	chr1:156138749-156138749	LMNA	6777	0.00014756	1	1	1	0.78656	8.6541	31.959	0.27079	MonogenicDM_all	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
chr13	27920320	27920320	chr13:27920320-27920320_PDX1	chr13:27920320-27920320	PDX1	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
chr3	12416865	12417037	chr3:12416865-12417037_PPARG	chr3:12416865-12417037	PPARG	NA	NA	2	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl	40	All	"t2d_with_pre_caseonly,covarlipidmeds"	pathogenic
chr11	116790406	116790946	chr11:116790406-116790946_APOA5	chr11:116790406-116790946	APOA5	36430	0.0010431	4	4	0	1.14E-06	1.6374	0.33329	23.676	High_triglycerides	high_tg_adj	40	All	covart2d	pathogenic
chr8	19939486	19954336	chr8:19939486-19954336_LPL	chr8:19939486-19954336	LPL	36430	0.0004392	6	6	3	0.0024346	1.538	0.51457	9.1891	High_triglycerides	high_tg_adj	40	All	covart2d	pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_with_pre_caseonly	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	Neonatal_Diabetes	hdl_mgdl	40	All	t2d_with_pre_caseonly	all_vus
chr11	17404552	17412716	chr11:17404552-17412716_ABCC8	chr11:17404552-17412716	ABCC8	NA	NA	2	0	0	NA	NA	NA	NA	Neonatal_Diabetes	tg_mgdl_ln	40	All	t2d_caseonly	non_pathogenic
chr11	17387532	17387532	"chr11:17387532-17387532_ABCC8,KCNJ11"	chr11:17387532-17387532	"ABCC8,KCNJ11"	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	tg_mgdl_ln	40	All	t2d_caseonly	non_pathogenic
chr17	37705017	37744785	chr17:37705017-37744785_HNF1B	chr17:37705017-37744785	HNF1B	NA	NA	6	0	0	NA	NA	NA	NA	Neonatal_Diabetes	tg_mgdl_ln	40	All	t2d_caseonly	non_pathogenic
chr11	2159810	2159810	chr11:2159810-2159810_INS	chr11:2159810-2159810	INS	2469	0.00040502	1	1	1	0.30154	0.54099	0.52353	1.0334	Neonatal_Diabetes	tg_mgdl_ln	40	All	t2d_caseonly	non_pathogenic
chr11	17387211	17387211	chr11:17387211-17387211_KCNJ11	chr11:17387211-17387211	KCNJ11	NA	NA	1	0	0	NA	NA	NA	NA	Neonatal_Diabetes	tg_mgdl_ln	40	All	t2d_caseonly	non_pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	2468	0.0012156	7	2	1	0.43261	18.84	24.004	0.78486	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	2468	0.0012156	23	3	3	0.6883	-9.6355	24.016	-0.4012	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	2468	0.0024311	9	3	2	0.84824	3.2578	17.023	0.19138	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_LMNA	chr1:156137679-156137679	LMNA	2468	0.00081037	1	1	0	0.020907	67.981	29.414	2.3112	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	2468	0.0040519	2	2	1	0.61044	6.7522	13.252	0.50951	MonogenicDM_all	ldl_mgdl_adj	40	All	t2d_caseonly	all_vus
chr19	11100237	11131285	chr19:11100237-11131285_LDLR	chr19:11100237-11131285	LDLR	36419	0.14119	47	47	22	0.71617	-0.16708	0.45955	-0.36358	High_LDL	ldl_mgdl	40	All	covart2d	non_pathogenic
chr1	55052701	55058549	chr1:55052701-55058549_PCSK9	chr1:55052701-55058549	PCSK9	36419	0.0031852	3	2	0	4.18E-07	-15.225	3.0081	-5.0615	High_LDL	ldl_mgdl	40	All	covart2d	non_pathogenic
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	2469	0.0012151	7	2	1	0.8057	0.075421	0.30658	0.24601	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	2469	0.0012151	23	3	3	0.27861	-0.33229	0.30663	-1.0837	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	2469	0.0024301	9	3	2	0.95504	-0.012258	0.21739	-0.056386	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr1	156137679	156137679	chr1:156137679-156137679_LMNA	chr1:156137679-156137679	LMNA	2469	0.00081004	1	1	0	0.0010769	1.2283	0.37522	3.2735	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	2469	0.0040502	2	2	1	0.19569	-0.21898	0.16919	-1.2943	MonogenicDM_all	tg_mgdl_adj_ln	40	All	t2d_caseonly	all_vus
chr7	44147830	44153381	chr7:44147830-44153381_GCK	chr7:44147830-44153381	GCK	2468	0.0028363	8	5	3	0.22582	-14.717	12.148	-1.2115	MODY	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
chr12	120989032	120999262	chr12:120989032-120999262_HNF1A	chr12:120989032-120999262	HNF1A	2468	0.00081037	5	2	2	0.11926	-35.407	22.72	-1.5584	MODY	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
chr13	27920320	27920320	chr13:27920320-27920320_PDX1	chr13:27920320-27920320	PDX1	NA	NA	1	0	0	NA	NA	NA	NA	MODY	ldl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	pathogenic
chr1	156138749	156138749	chr1:156138749-156138749_LMNA	chr1:156138749-156138749	LMNA	36430	0.0001098	1	1	0	0.83218	0.22751	1.1626	0.044902	Lipodystrophy	high_tg_adj	40	All	covart2d_with_pre	pathogenic
chr3	12416865	12417037	chr3:12416865-12417037_PPARG	chr3:12416865-12417037	PPARG	36430	5.49E-05	2	1	0	0.12645	1.8818	1.4147	2.3355	Lipodystrophy	high_tg_adj	40	All	covart2d_with_pre	pathogenic
chr7	44145148	44153306	chr7:44145148-44153306_GCK	chr7:44145148-44153306	GCK	2469	0.0012151	7	2	1	0.62776	0.14652	0.30213	0.48495	MODY	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr12	120978797	120999604	chr12:120978797-120999604_HNF1A	chr12:120978797-120999604	HNF1A	2469	0.0012151	23	3	3	0.27524	-0.32966	0.30208	-1.0913	MODY	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr17	37731634	37744785	chr17:37731634-37744785_HNF1B	chr17:37731634-37744785	HNF1B	NA	NA	4	0	0	NA	NA	NA	NA	MODY	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr20	44413714	44424123	chr20:44413714-44424123_HNF4A	chr20:44413714-44424123	HNF4A	2469	0.0024301	9	3	2	0.88376	-0.031316	0.21417	-0.14622	MODY	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr13	27920190	27920235	chr13:27920190-27920235_PDX1	chr13:27920190-27920235	PDX1	2469	0.0040502	2	2	1	0.12761	-0.25407	0.1667	-1.5241	MODY	tg_mgdl_adj_ln	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
chr2	21006629	21006629	chr2:21006629-21006629_APOB	chr2:21006629-21006629	APOB	36419	5.49E-05	1	1	0	0.03699	-50.753	24.331	-2.086	Low_LDL	ldl_mgdl_adj	40	All	"covart2d,covarlipidmeds"	all_vus
chr11	17404552	17404552	chr11:17404552-17404552_ABCC8	chr11:17404552-17404552	ABCC8	NA	NA	1	0	0	NA	NA	NA	NA	MonogenicDM_all	hdl_mgdl	40	All	"t2d_caseonly,covarlipidmeds"	all_vus
